3,3
6
E,3,0
E,3,1
E,3,3
O,2,0
O,2,1
O,2,2
W,2,3
R,0,0,0,0
R,1,0,1,0
R,2,0,3,0
R,2,0,3,1
R,1,0,1,1
R,0,0,0,1
R,0,0,1,2
R,1,1,1,2
R,2,1,3,2
R,2,1,3,3
R,0,0,1,3
R,1,3,2,3
R,1,3,1,4
R,2,1,3,4
R,0,1,1,4
R,1,3,0,5
R,2,2,3,5
R,0,3,2,5
R,2,3,3,6
R,0,3,1,6
R,1,3,0,6
C,0,0,2,0,0
C,1,1,1,0,0
C,2,1,3,0,0
C,0,0,2,0,1
C,1,0,1,1,1
C,2,0,3,1,1
C,0,0,2,0,2
C,1,1,1,1,2
C,2,1,3,1,2
C,0,0,1,1,3
C,1,3,2,1,3
C,2,1,3,1,3
C,2,1,3,1,4
C,0,1,1,1,4
C,1,3,1,1,4
C,2,2,3,1,5
C,0,3,2,1,5
C,1,3,0,1,5
C,2,3,3,1,6
C,1,3,0,1,6
C,0,3,1,1,6
F,0,1,2,0,0
F,0,1,2,0,1
F,0,1,2,0,2
F,0,1,3,1,3
F,0,1,3,1,4
F,0,2,3,1,5
F,0,3,3,1,6
Pin,1,0
Pout,3,2
